entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
40 45 0 1 1966 1967 36594896.000000 36594896.000000 36594896.000000
45 50 0 1 1966 1967 34651764.000000 34651764.000000 34651764.000000
50 55 0 1 1966 1967 30134936.000000 30134936.000000 30134936.000000
55 60 0 1 1966 1967 23730712.000000 23730712.000000 23730712.000000
60 65 0 1 1966 1967 18605580.000000 18605580.000000 18605580.000000
65 70 0 1 1966 1967 12431652.000000 12431652.000000 12431652.000000
70 120 0 1 1966 1967 13476215.000000 13476215.000000 13476215.000000
0 5 0 1 1967 1968 128833184.000000 128833184.000000 128833184.000000
5 10 0 1 1967 1968 92472600.000000 92472600.000000 92472600.000000
10 15 0 1 1967 1968 91714176.000000 91714176.000000 91714176.000000
15 20 0 1 1967 1968 77574600.000000 77574600.000000 77574600.000000
20 25 0 1 1967 1968 55713800.000000 55713800.000000 55713800.000000
25 30 0 1 1967 1968 49918040.000000 49918040.000000 49918040.000000
30 35 0 1 1967 1968 48277536.000000 48277536.000000 48277536.000000
35 40 0 1 1967 1968 43115080.000000 43115080.000000 43115080.000000
40 45 0 1 1967 1968 37161044.000000 37161044.000000 37161044.000000
45 50 0 1 1967 1968 34567576.000000 34567576.000000 34567576.000000
50 55 0 1 1967 1968 30870224.000000 30870224.000000 30870224.000000
55 60 0 1 1967 1968 24452724.000000 24452724.000000 24452724.000000
60 65 0 1 1967 1968 18920020.000000 18920020.000000 18920020.000000
65 70 0 1 1967 1968 13056748.000000 13056748.000000 13056748.000000
70 120 0 1 1967 1968 14123715.000000 14123715.000000 14123715.000000
0 5 0 1 1968 1969 131648424.000000 131648424.000000 131648424.000000
5 10 0 1 1968 1969 97895072.000000 97895072.000000 97895072.000000
10 15 0 1 1968 1969 89581568.000000 89581568.000000 89581568.000000
15 20 0 1 1968 1969 83891080.000000 83891080.000000 83891080.000000
20 25 0 1 1968 1969 58427940.000000 58427940.000000 58427940.000000
25 30 0 1 1968 1969 50066376.000000 50066376.000000 50066376.000000
30 35 0 1 1968 1969 48788068.000000 48788068.000000 48788068.000000
35 40 0 1 1968 1969 44313596.000000 44313596.000000 44313596.000000
40 45 0 1 1968 1969 38032116.000000 38032116.000000 38032116.000000
45 50 0 1 1968 1969 34534632.000000 34534632.000000 34534632.000000
50 55 0 1 1968 1969 31659940.000000 31659940.000000 31659940.000000
55 60 0 1 1968 1969 25348150.000000 25348150.000000 25348150.000000
60 65 0 1 1968 1969 19292672.000000 19292672.000000 19292672.000000
65 70 0 1 1968 1969 13756809.000000 13756809.000000 13756809.000000
70 120 0 1 1968 1969 14772280.000000 14772280.000000 14772280.000000
0 5 0 1 1969 1970 133204760.000000 133204760.000000 133204760.000000
5 10 0 1 1969 1970 104431712.000000 104431712.000000 104431712.000000
10 15 0 1 1969 1970 87935192.000000 87935192.000000 87935192.000000
15 20 0 1 1969 1970 88960440.000000 88960440.000000 88960440.000000
20 25 0 1 1969 1970 61941720.000000 61941720.000000 61941720.000000
25 30 0 1 1969 1970 50632312.000000 50632312.000000 50632312.000000
