entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
tn 	 8 	 25 	 30 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 30 	 35 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 35 	 40 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 40 	 45 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 45 	 50 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 50 	 55 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 55 	 60 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 60 	 65 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 65 	 70 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 70 	 75 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 0 	 5 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 5 	 10 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 10 	 15 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 15 	 20 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 20 	 25 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 25 	 30 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 30 	 35 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 35 	 40 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 40 	 45 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 45 	 50 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 50 	 55 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 55 	 60 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 60 	 65 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 65 	 70 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 70 	 75 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ni+ 	 10 	 0 	 5 	 0 	 1 	 0.000000000154 	 0.000000000154 	 0.000000000154 
ni+ 	 10 	 5 	 10 	 0 	 1 	 0.000000000985 	 0.000000000985 	 0.000000000985 
ni+ 	 10 	 10 	 15 	 0 	 1 	 0.000000002284 	 0.000000002284 	 0.000000002284 
ni+ 	 10 	 15 	 20 	 0 	 1 	 0.000000011100 	 0.000000011100 	 0.000000011100 
ni+ 	 10 	 20 	 25 	 0 	 1 	 0.000000054380 	 0.000000054380 	 0.000000054380 
ni+ 	 10 	 25 	 30 	 0 	 1 	 0.000000152022 	 0.000000152022 	 0.000000152022 
ni+ 	 10 	 30 	 35 	 0 	 1 	 0.000000256880 	 0.000000256880 	 0.000000256880 
ni+ 	 10 	 35 	 40 	 0 	 1 	 0.000000349507 	 0.000000349507 	 0.000000349507 
ni+ 	 10 	 40 	 45 	 0 	 1 	 0.000000448433 	 0.000000448433 	 0.000000448433 
ni+ 	 10 	 45 	 50 	 0 	 1 	 0.000000598236 	 0.000000598236 	 0.000000598236 
ni+ 	 10 	 50 	 55 	 0 	 1 	 0.000000713485 	 0.000000713485 	 0.000000713485 
ni+ 	 10 	 55 	 60 	 0 	 1 	 0.000000843918 	 0.000000843918 	 0.000000843918 
ni+ 	 10 	 60 	 65 	 0 	 1 	 0.000001043431 	 0.000001043431 	 0.000001043431 
ni+ 	 10 	 65 	 70 	 0 	 1 	 0.000001221089 	 0.000001221089 	 0.000001221089 
ni+ 	 10 	 70 	 75 	 0 	 1 	 0.000001629327 	 0.000001629327 	 0.000001629327 
ni+ 	 10 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 0 	 5 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 5 	 10 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 10 	 15 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 15 	 20 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 20 	 25 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 25 	 30 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 30 	 35 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 35 	 40 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 40 	 45 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 45 	 50 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 50 	 55 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 55 	 60 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 60 	 65 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 65 	 70 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 70 	 75 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ni- 	 12 	 0 	 5 	 0 	 1 	 0.000000001204 	 0.000000001204 	 0.000000001204 
ni- 	 12 	 5 	 10 	 0 	 1 	 0.000000007751 	 0.000000007751 	 0.000000007751 
ni- 	 12 	 10 	 15 	 0 	 1 	 0.000000018091 	 0.000000018091 	 0.000000018091 
ni- 	 12 	 15 	 20 	 0 	 1 	 0.000000026266 	 0.000000026266 	 0.000000026266 
ni- 	 12 	 20 	 25 	 0 	 1 	 0.000000051457 	 0.000000051457 	 0.000000051457 
ni- 	 12 	 25 	 30 	 0 	 1 	 0.000000106135 	 0.000000106135 	 0.000000106135 
ni- 	 12 	 30 	 35 	 0 	 1 	 0.000000164769 	 0.000000164769 	 0.000000164769 
ni- 	 12 	 35 	 40 	 0 	 1 	 0.000000216729 	 0.000000216729 	 0.000000216729 
ni- 	 12 	 40 	 45 	 0 	 1 	 0.000000272207 	 0.000000272207 	 0.000000272207 
ni- 	 12 	 45 	 50 	 0 	 1 	 0.000000355972 	 0.000000355972 	 0.000000355972 
ni- 	 12 	 50 	 55 	 0 	 1 	 0.000000420290 	 0.000000420290 	 0.000000420290 
ni- 	 12 	 55 	 60 	 0 	 1 	 0.000000492564 	 0.000000492564 	 0.000000492564 
ni- 	 12 	 60 	 65 	 0 	 1 	 0.000000604277 	 0.000000604277 	 0.000000604277 
ni- 	 12 	 65 	 70 	 0 	 1 	 0.000000713640 	 0.000000713640 	 0.000000713640 
ni- 	 12 	 70 	 75 	 0 	 1 	 0.000000987526 	 0.000000987526 	 0.000000987526 
ni- 	 12 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 0 	 5 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 5 	 10 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 10 	 15 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 15 	 20 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 20 	 25 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 25 	 30 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 30 	 35 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 35 	 40 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 40 	 45 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 45 	 50 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 50 	 55 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 55 	 60 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 60 	 65 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 65 	 70 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 70 	 75 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defn 	 13 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 0 	 5 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 5 	 10 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 10 	 15 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 15 	 20 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 20 	 25 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 25 	 30 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 30 	 35 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 35 	 40 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 40 	 45 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 45 	 50 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 50 	 55 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 55 	 60 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 60 	 65 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 65 	 70 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 70 	 75 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
nn 	 14 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
si+ 	 15 	 0 	 5 	 0 	 1 	 0.000000000222 	 0.000000000222 	 0.000000000222 
si+ 	 15 	 5 	 10 	 0 	 1 	 0.000000001467 	 0.000000001467 	 0.000000001467 
si+ 	 15 	 10 	 15 	 0 	 1 	 0.000000003507 	 0.000000003507 	 0.000000003507 
si+ 	 15 	 15 	 20 	 0 	 1 	 0.000000015763 	 0.000000015763 	 0.000000015763 
si+ 	 15 	 20 	 25 	 0 	 1 	 0.000000077581 	 0.000000077581 	 0.000000077581 
si+ 	 15 	 25 	 30 	 0 	 1 	 0.000000224137 	 0.000000224137 	 0.000000224137 
si+ 	 15 	 30 	 35 	 0 	 1 	 0.000000386197 	 0.000000386197 	 0.000000386197 
si+ 	 15 	 35 	 40 	 0 	 1 	 0.000000533444 	 0.000000533444 	 0.000000533444 
si+ 	 15 	 40 	 45 	 0 	 1 	 0.000000696193 	 0.000000696193 	 0.000000696193 
si+ 	 15 	 45 	 50 	 0 	 1 	 0.000000960920 	 0.000000960920 	 0.000000960920 
si+ 	 15 	 50 	 55 	 0 	 1 	 0.000001176111 	 0.000001176111 	 0.000001176111 
si+ 	 15 	 55 	 60 	 0 	 1 	 0.000001472084 	 0.000001472084 	 0.000001472084 
si+ 	 15 	 60 	 65 	 0 	 1 	 0.000001956892 	 0.000001956892 	 0.000001956892 
si+ 	 15 	 65 	 70 	 0 	 1 	 0.000002503738 	 0.000002503738 	 0.000002503738 
si+ 	 15 	 70 	 75 	 0 	 1 	 0.000003878873 	 0.000003878873 	 0.000003878873 
si+ 	 15 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
si- 	 16 	 0 	 5 	 0 	 1 	 0.000000001077 	 0.000000001077 	 0.000000001077 
si- 	 16 	 5 	 10 	 0 	 1 	 0.000000007160 	 0.000000007160 	 0.000000007160 
si- 	 16 	 10 	 15 	 0 	 1 	 0.000000017236 	 0.000000017236 	 0.000000017236 
si- 	 16 	 15 	 20 	 0 	 1 	 0.000000025328 	 0.000000025328 	 0.000000025328 
si- 	 16 	 20 	 25 	 0 	 1 	 0.000000049384 	 0.000000049384 	 0.000000049384 
si- 	 16 	 25 	 30 	 0 	 1 	 0.000000104676 	 0.000000104676 	 0.000000104676 
si- 	 16 	 30 	 35 	 0 	 1 	 0.000000167255 	 0.000000167255 	 0.000000167255 
